fleet;year;stdcpue;cv;ref;
catch;1950;808;0;Task I;
catch;1951;1651;0;Task I;
catch;1952;2018;0;Task I;
catch;1953;2951;0;Task I;
catch;1954;2932;0;Task I;
catch;1955;4808;0;Task I;
catch;1956;2779.023;0;Task I;
catch;1957;8720;0;Task I;
catch;1958;4290;0;Task I;
catch;1959;7732;0;Task I;
catch;1960;9112.8;0;Task I;
catch;1961;17060.3;0;Task I;
catch;1962;23131.78;0;Task I;
catch;1963;26038.72;0;Task I;
catch;1964;23631.091;0;Task I;
catch;1965;39393.732;0;Task I;
catch;1966;25385.86;0;Task I;
catch;1967;25252.112;0;Task I;
catch;1968;23911.256;0;Task I;
catch;1969;36735.424;0;Task I;
catch;1970;41879.936;0;Task I;
catch;1971;55029.32;0;Task I;
catch;1972;46971.864;0;Task I;
catch;1973;56661.935;0;Task I;
catch;1974;63702.586;0;Task I;
catch;1975;60627;0;Task I;
catch;1976;44668;0;Task I;
catch;1977;54735;0;Task I;
catch;1978;52431;0;Task I;
catch;1979;45830;0;Task I;
catch;1980;63596.96;0;Task I;
catch;1981;67773.01;0;Task I;
catch;1982;73556.72415;0;Task I;
catch;1983;59434.63954;0;Task I;
catch;1984;70977.6411;0;Task I;
catch;1985;78009.5517;0;Task I;
catch;1986;65432.543;0;Task I;
catch;1987;57322.5925;0;Task I;
catch;1988;66374.6912;0;Task I;
catch;1989;78721.8048;0;Task I;
catch;1990;85263.9124;0;Task I;
catch;1991;97211.396;0;Task I;
catch;1992;100106.2935;0;Task I;
catch;1993;113789.797;0;Task I;
catch;1994;134932.4076;0;Task I;
catch;1995;128046.6648;0;Task I;
catch;1996;120767.1789;0;Task I;
catch;1997;110254.5183;0;Task I;
catch;1998;107953.5424;0;Task I;
catch;1999;121424.9268;0;Task I;
catch;2000;103434.1278;0;Task I;
catch;2001;91636.06235;0;Task I;90043.06235
catch;2002;75801.79932;0;Task I;
catch;2003;87595.56303;0;Task I;
catch;2004;90043.43795;0;Task I;
catch;2005;67953.73705;0;Task I;
catch;2006;59191.8665;0;Task I;
catch;2007;69894.90113;0;Task I;
catch;2008;63172.11239;0;Task I;
catch;2009;76426.652;0;Task I;
catch;2010;76073.57434;0;Task I;
catch;2011;76749.34225;0;Task I;
catch;2012;71316.61264;0;Task I;
catch;2013;66976.0581;0;Task I;
catch;2014;75307.47094;0;Task I;
catch;2015;79794.92839;0;Task I;
catch;2016;79337.82275;0;Task I;
catch;2017;78617.29484;0;Task I;
catch;2018;72971.1792;0;Task I;
catch;2019;75646.05446;0;Task I;
catch;2020;74471.74;0;Task I;
Joint_LL_5978;1959;0.84239028;0.230736064;SCRS/2018/052;
Joint_LL_5978;1960;0.924894646;0.175929035;SCRS/2018/052;
Joint_LL_5978;1961;1.171200439;0.159676197;SCRS/2018/052;
Joint_LL_5978;1962;1.003365656;0.154303149;SCRS/2018/052;
Joint_LL_5978;1963;1.151746271;0.133984637;SCRS/2018/052;
Joint_LL_5978;1964;1.16873039;0.123982402;SCRS/2018/052;
Joint_LL_5978;1965;1.229211723;0.113358606;SCRS/2018/052;
Joint_LL_5978;1966;1.077172656;0.151020843;SCRS/2018/052;
Joint_LL_5978;1967;1.042464111;0.152763389;SCRS/2018/052;
Joint_LL_5978;1968;1.192956678;0.166540689;SCRS/2018/052;
Joint_LL_5978;1969;1.073523011;0.170495559;SCRS/2018/052;
Joint_LL_5978;1970;0.938194298;0.171143584;SCRS/2018/052;
Joint_LL_5978;1971;0.841309221;0.166221944;SCRS/2018/052;
Joint_LL_5978;1972;0.851690909;0.230265284;SCRS/2018/052;
Joint_LL_5978;1973;0.877861102;0.256157959;SCRS/2018/052;
Joint_LL_5978;1974;0.817914717;0.318273601;SCRS/2018/052;
Joint_LL_5978;1975;0.658735616;0.23247608;SCRS/2018/052;
Joint_LL_5978;1976;0.714293672;0.252858245;SCRS/2018/052;
Joint_LL_5978;1977;1.041727717;0.305216895;SCRS/2018/052;
